               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12302,             0.03281,                   0,           0.0022222,             0.66667,           0.0076839,           0.0020864,            0.035061,            0.015886,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.09207,            0.031199,                   0,           0.0033333,                   1,             0.12342,            0.051469,             0.02808,            0.013732,                   0,            0.077418,           0.0024175,           0.0024175
                   2,            0.075264,            0.029931,                   0,             0.30477,             0.33333,             0.39333,             0.17385,            0.017798,            0.012977,                   0,            0.065549,           0.0035492,           0.0035492
                   3,            0.060424,            0.026799,                   0,             0.94038,             0.66667,             0.77212,             0.43756,            0.019175,            0.016133,                   0,            0.053595,           0.0045951,           0.0045951
                   4,            0.057957,            0.023458,                   0,             0.61769,             0.83333,             0.71881,             0.41478,            0.024291,           0.0099955,                   0,            0.041555,           0.0055552,           0.0055552
                   5,            0.057567,            0.020771,                   0,             0.45082,             0.68578,               0.779,             0.52436,            0.013068,           0.0066416,                   0,            0.029429,           0.0064295,           0.0064295
                   6,            0.052141,            0.020148,                   0,             0.68328,             0.66667,              0.8125,             0.53501,            0.014538,           0.0059788,                   0,            0.017218,            0.007218,            0.007218
                   7,            0.053886,            0.018527,                   0,                   1,              0.8174,             0.89147,             0.64413,             0.01552,           0.0062506,                   0,             0.00769,             0.00769,             0.00769
                   8,            0.050937,             0.01838,                   0,             0.60158,             0.66667,             0.74315,             0.52829,            0.012618,           0.0063814,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.047201,            0.017584,                   0,             0.91187,                 0.5,             0.74659,             0.44749,            0.011079,           0.0056676,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.043049,            0.016091,                   0,             0.55304,             0.83333,             0.62996,             0.39937,            0.015941,            0.004809,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.040901,            0.016334,                   0,              0.9527,             0.66667,               0.885,             0.61022,            0.013512,           0.0048878,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.037385,            0.014421,                   0,             0.57377,                   1,              0.7125,             0.47828,            0.012406,           0.0044849,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.036864,            0.014514,                   0,                   1,             0.98284,               0.995,             0.73754,           0.0077463,            0.004267,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.033284,            0.013396,                   0,                   1,             0.99706,               0.995,             0.74763,           0.0083031,           0.0040701,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.035159,            0.013558,                   0,                   1,             0.99902,               0.995,             0.76987,           0.0084419,           0.0039166,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.033079,            0.012907,                   0,                   1,             0.99271,               0.995,             0.82747,           0.0068962,           0.0038399,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.030591,            0.012239,                   0,             0.98653,                   1,               0.995,             0.79267,            0.008567,           0.0039203,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.027534,            0.013266,                   0,             0.98554,                   1,               0.995,             0.78421,           0.0068645,           0.0039234,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.028297,            0.012136,                   0,             0.96865,                   1,               0.995,             0.79198,           0.0061838,           0.0038953,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.027165,            0.012516,                   0,             0.99287,                   1,               0.995,              0.6385,           0.0073259,           0.0037174,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.027308,            0.011898,                   0,                   1,             0.99284,               0.995,             0.73375,           0.0075021,           0.0035018,                   0,              0.0034,              0.0034,              0.0034
                  22,             0.02558,            0.011379,                   0,             0.99822,                   1,               0.995,             0.82147,           0.0066427,           0.0033852,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.024069,            0.010703,                   0,             0.99674,                   1,               0.995,             0.80145,            0.005555,           0.0033044,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.02192,            0.010435,                   0,             0.99543,                   1,               0.995,             0.77601,           0.0057972,           0.0032802,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.022203,             0.01168,                   0,              0.9927,                   1,               0.995,              0.7339,           0.0060072,           0.0032074,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.019245,            0.010523,                   0,             0.99604,                   1,               0.995,             0.83077,           0.0059395,           0.0031191,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.019303,            0.010203,                   0,             0.99669,                   1,               0.995,             0.82084,           0.0053324,            0.003098,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.020692,            0.010103,                   0,             0.99662,                   1,               0.995,             0.84773,           0.0054731,           0.0030861,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.018807,           0.0094879,                   0,              0.9944,                   1,               0.995,             0.86129,           0.0050802,           0.0030639,                   0,             0.00076,             0.00076,             0.00076
